repetition,sweep_name,scenario,num_samples,num_elements,active_fraction,active_count,active_gain,directional_gain_error_std_db,directional_phase_error_std_rad,eve_channel_scale,eve_channel_correlation,legitimate_receiver_noise_variance,eve_receiver_noise_variance,guard_band_sigma,selection_policy,weighted_legitimate_mi_bits_per_sample,weighted_eve_leakage_bits_per_sample,weighted_asymptotic_secret_rate_bits_per_sample,weighted_finite_length_rate_bits_per_sample,weighted_quantized_eve_mutual_information_bits_per_retained_bit,weighted_quantized_conditional_min_entropy_bits_per_retained_bit,transmission_quantized_eve_guessing_probability,reflection_quantized_eve_guessing_probability,transmission_quantized_conditional_min_entropy_bits_per_retained_bit,reflection_quantized_conditional_min_entropy_bits_per_retained_bit,weighted_operational_bound_bits_per_sample,transmission_pre_reconciliation_entropy_bound_bits,reflection_pre_reconciliation_entropy_bound_bits,transmission_operational_secret_bit_bound,reflection_operational_secret_bit_bound,aggregate_operational_secret_bit_bound,transmission_retention_ratio,reflection_retention_ratio,transmission_raw_kdr,reflection_raw_kdr,transmission_post_reconciliation_kdr,reflection_post_reconciliation_kdr,transmission_corrections,reflection_corrections,transmission_parity_leakage_bits,reflection_parity_leakage_bits,transmission_final_key_bits,reflection_final_key_bits,aggregate_final_key_bits,transmission_success,reflection_success,dual_side_success
0,eve_channel_correlation,eve_channel_correlation=0.0,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.05,alice,8.059002087373816,0.003756376679902389,8.055245710693914,6.9827568340811315,0.0,0.713645032147556,0.6139636431746451,0.6056200206253146,0.703774868224513,0.723515196070599,0.2586111111111111,1078,1114,455,476,931,0.9527777777777777,0.9544444444444444,0.0029154518950437317,0.005820721769499418,0.0,0.0,5,10,527,542,128,128,256,True,True,True
0,eve_channel_correlation,eve_channel_correlation=0.25,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.25,0.01,0.001,0.05,alice,8.059002087373816,0.4571611787268456,7.60184090864697,6.529352032034188,0.15276257918570657,0.38274719998868867,0.7664631024052212,0.7674886672041776,0.38371175278580577,0.3817826471915716,0.0,530,527,0,0,0,0.9527777777777777,0.9544444444444444,0.0029154518950437317,0.005820721769499418,0.0,0.0,5,10,527,542,0,0,0,False,False,False
0,eve_channel_correlation,eve_channel_correlation=0.5,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.5,0.01,0.001,0.05,alice,8.059002087373816,1.0444125180301846,7.014589569343631,5.942100692730849,0.3175636804565765,0.24511792967354346,0.8440948074967808,0.8433989824312531,0.24452304545278425,0.2457128138943027,0.0,291,294,0,0,0,0.9527777777777777,0.9544444444444444,0.0029154518950437317,0.005820721769499418,0.0,0.0,5,10,527,542,0,0,0,False,False,False
0,eve_channel_correlation,eve_channel_correlation=0.75,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.75,0.01,0.001,0.05,alice,8.059002087373816,2.0317008092524036,6.027301278121412,4.95481240150863,0.5243853666700351,0.13764088079954806,0.9099421527694024,0.9080675335094145,0.13615326228526312,0.13912849931383303,0.0,105,111,0,0,0,0.9527777777777777,0.9544444444444444,0.0029154518950437317,0.005820721769499418,0.0,0.0,5,10,527,542,0,0,0,False,False,False
0,eve_channel_correlation,eve_channel_correlation=1.0,2000,16,0.25,4,1.5,0.0,0.0,1.0,1.0,0.01,0.001,0.05,alice,8.059002087373816,9.809883547938583,0.0,0.0,0.8144426027228879,0.039534002224212,0.9733629285649535,0.9725755719471485,0.03895026561094915,0.04011773883747485,0.0,0,0,0,0,0,0.9527777777777777,0.9544444444444444,0.0029154518950437317,0.005820721769499418,0.0,0.0,5,10,527,542,0,0,0,False,False,False
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.0,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.05,alice,8.059002087373816,0.003756376679902389,8.055245710693914,6.9827568340811315,0.0,0.713645032147556,0.6139636431746451,0.6056200206253146,0.703774868224513,0.723515196070599,0.2586111111111111,1078,1114,455,476,931,0.9527777777777777,0.9544444444444444,0.0029154518950437317,0.005820721769499418,0.0,0.0,5,10,527,542,128,128,256,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.1,2000,16,0.25,4,1.5,0.0,0.1,1.0,0.0,0.01,0.001,0.05,alice,6.2138758329534385,0.00371148798412254,6.210164344969316,5.229931781077553,0.001025117306903467,0.7116643920574408,0.6152204237134935,0.6060446165995494,0.7008246970800083,0.7225040870348735,0.20944444444444443,1076,1116,368,386,754,0.955,0.9572222222222222,0.01861547411285631,0.022634939059779455,0.0,0.0,32,39,612,634,128,128,256,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.2,2000,16,0.25,4,1.5,0.0,0.2,1.0,0.0,0.01,0.001,0.05,alice,4.602138919409105,0.0037584600119910877,4.598380459397114,3.6987347411825677,0.0,0.7112149677714303,0.6118848955428442,0.6097280712586113,0.708667808387335,0.7137621271555258,0.09416666666666666,1100,1101,115,224,339,0.9633333333333334,0.9572222222222222,0.05997693194925029,0.046430644225188625,0.0,0.0,104,80,889,781,115,128,243,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.5,2000,16,0.25,4,1.5,0.0,0.5,1.0,0.0,0.01,0.001,0.05,alice,2.2285306553725173,0.003645010272709187,2.224885645099808,1.4439203400870915,0.0007513009605875087,0.7167725500231261,0.612017437321359,0.6049174722367006,0.7083553367755292,0.7251897632707232,0.0,1088,1114,0,0,0,0.9538888888888889,0.9516666666666667,0.151426907396622,0.138353765323993,0.006988934187536401,0.005837711617046118,248,227,1563,1460,0,0,0,False,False,False
0,guard_band_sigma,guard_band_sigma=0.0,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.0,alice,8.059002087373816,0.003756376679902389,8.055245710693914,6.9827568340811315,0.0,0.722849078542452,0.6106909781633152,0.6011460335309595,0.7114855627161641,0.7342125943687399,0.23916666666666667,1152,1193,443,418,861,1.0,1.0,0.012777777777777779,0.025,0.0,0.0,23,45,613,679,128,128,256,True,True,True
