repetition,sweep_name,scenario,num_samples,num_elements,active_fraction,active_count,active_gain,directional_gain_error_std_db,directional_phase_error_std_rad,eve_channel_scale,eve_channel_correlation,legitimate_receiver_noise_variance,eve_receiver_noise_variance,guard_band_sigma,selection_policy,weighted_legitimate_mi_bits_per_sample,weighted_eve_leakage_bits_per_sample,weighted_asymptotic_secret_rate_bits_per_sample,weighted_finite_length_rate_bits_per_sample,transmission_retention_ratio,reflection_retention_ratio,transmission_raw_kdr,reflection_raw_kdr,transmission_post_reconciliation_kdr,reflection_post_reconciliation_kdr,transmission_corrections,reflection_corrections,transmission_parity_leakage_bits,reflection_parity_leakage_bits,transmission_final_key_bits,reflection_final_key_bits,aggregate_final_key_bits,transmission_success,reflection_success,dual_side_success
0,eve_channel_correlation,eve_channel_correlation=1.0,1800,16,0.25,4,1.5,0.0,0.0,0.2,1.0,0.01,0.5,0.05,alice,8.032566331097769,0.8341823121862197,7.1983840189115496,6.08538156810427,0.9611111111111111,0.9518518518518518,0.0032113037893384713,0.00324254215304799,0.0,0.0,5,5,482,479,128,128,256,True,True,True
0,legitimate_receiver_noise_variance,legitimate_receiver_noise_variance=0.001,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.001,0.5,0.05,alice,8.999827852333258,0.0014921980322913924,8.998335654300966,7.836970127431913,0.9611111111111111,0.9574074074074074,0.0012845215157353885,0.0019342359767891683,0.0,0.0,2,3,473,474,128,128,256,True,True,True
0,legitimate_receiver_noise_variance,legitimate_receiver_noise_variance=0.01,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.032566331097769,0.0015309594752987113,8.03103537162247,6.918032920815191,0.9611111111111111,0.9518518518518518,0.0032113037893384713,0.00324254215304799,0.0,0.0,5,5,482,479,128,128,256,True,True,True
0,legitimate_receiver_noise_variance,legitimate_receiver_noise_variance=0.03,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.03,0.5,0.05,alice,6.998756155032982,0.0015733917094020687,6.997182763323579,5.93587082131954,0.9586419753086419,0.9518518518518518,0.0070830650354153256,0.01232166018158236,0.0,0.0,11,19,500,521,128,128,256,True,True,True
0,legitimate_receiver_noise_variance,legitimate_receiver_noise_variance=0.1,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.1,0.5,0.05,alice,5.540576612768393,0.0016585162284460863,5.5389180965399465,4.550515131649137,0.9543209876543209,0.9518518518518518,0.018758085381630013,0.03826199740596628,0.0,0.0,29,59,560,657,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.0,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.0,alice,8.032566331097769,0.0015309594752987113,8.03103537162247,6.918032920815191,1.0,1.0,0.011111111111111112,0.019135802469135803,0.0,0.0,18,31,540,579,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.05,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.032566331097769,0.0015309594752987113,8.03103537162247,6.918032920815191,0.9611111111111111,0.9518518518518518,0.0032113037893384713,0.00324254215304799,0.0,0.0,5,5,482,479,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.1,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.1,alice,8.032566331097769,0.0015309594752987113,8.03103537162247,6.918032920815191,0.9197530864197531,0.9160493827160494,0.0006711409395973154,0.0020215633423180594,0.0,0.0,1,3,451,455,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.15,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.15,alice,8.032566331097769,0.0015309594752987113,8.03103537162247,6.918032920815191,0.8839506172839506,0.8814814814814815,0.0006983240223463687,0.0,0.0,0.0,1,0,432,429,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.25,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.25,alice,8.032566331097769,0.0015309594752987113,8.03103537162247,6.918032920815191,0.8061728395061728,0.7987654320987654,0.0,0.0,0.0,0.0,0,0,392,389,128,128,256,True,True,True
